<b></b>,<b>BD I</b>,,<b>BD II</b>,,<b>HC</b>,,<b><em>&#967;</em><sup>2</sup></b>,<b>Post-hoc comparison</b>,,<b></b>
,M,SD,M,SD,M,SD,,(Tukey HSD),,<em>p</em>
BMI (kg/m<sup>2</sup>),31.59,6.62,29.06,5.69,27.58,4.4,43.57,BD I>BD II=HC,,< 0.001
WC,111.69,14.28,104.23,13.4,103.56,11.57,54.78,BD I>BD II=HC,,< 0.001
Diastolic BP,79.43,8.49,75.21,8.18,76.71,9.59,18.56,BD I> BD II=HC,,< 0.001
Systolic BP,124.14,13.13,121.0,11.05,118.49,14.74,21.07,BD I> HC=BD II,,< 0.001
HDL-c,42.94,14.35,53.14,13.13,47.73,13.1,52.22,BD II>HC=BD I,,< 0.001
TG,169.54,118.17,140.64,95.73,133.33,74.79,42.22,BD I>BD II=HC,,< 0.001
FBG,110.53,49.26,96.83,24.07,93.57,17.96,13.48,BD I>BD II=HC,,< 0.001
,BD I,,BD II,,HC,,X<sup>2</sup>,,p,
ATP-III,40 (57.1),,21 (30),,25 (35.7),,11.855,,<strong>0.003</strong>,
ATP-III-A,40 (57.1),,24 (34.3),,"25 (35,7)",,9.399,,<strong>0.009</strong>,
IDF,41 (58.6),,24 (34.3),,26 (37.1),,10.045,,<strong>0.007</strong>,